feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
5.4.2.10: Phosphoglucosamine mutase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.29271183688816	-0.0614602574130574	0.225323535636446	1.44349037486501e-7	1.68501731425489e-5	1.44349037486501e-7	1.68501731425489e-5	NA	abundance	105	89
6.3.2.8: UDP-N-acetylmuramate--L-alanine ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.23262859257242	-0.0614602574130574	0.216564004679196	1.48128173333137e-7	1.71747142622402e-5	1.48128173333137e-7	1.71747142622402e-5	NA	abundance	105	89
1.12.7.2: Ferredoxin hydrogenase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.16769008401138	-0.0614602574130574	0.206277106606841	1.68478899651937e-7	1.88706322050326e-5	1.68478899651937e-7	1.88706322050326e-5	NA	abundance	105	89
4.2.1.9: Dihydroxy-acid dehydratase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCP	DietLCP	1.43000211475773	0.114219139135528	0.221222413332441	1.90041738580177e-7	2.05570398759738e-5	1.90041738580177e-7	2.05570398759738e-5	NA	abundance	105	88
1.1.1.86: Ketol-acid reductoisomerase (NADP(+))|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.91315096631584	-0.0614602574130574	0.344342555521884	1.91680483411294e-7	2.06753167796751e-5	1.91680483411294e-7	2.06753167796751e-5	NA	abundance	105	82
6.1.1.14: Glycine--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.43723065936118	-0.0614602574130574	0.254984130964462	2.02890406391204e-7	2.16686954025805e-5	2.02890406391204e-7	2.16686954025805e-5	NA	abundance	105	89
2.7.7.8: Polyribonucleotide nucleotidyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.42279819232561	-0.0614602574130574	0.250463490176561	2.04226245461064e-7	2.17500951416033e-5	2.04226245461064e-7	2.17500951416033e-5	NA	abundance	105	87
3.6.5.n1: Elongation factor 4|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.55604138584003	-0.0614602574130574	0.276571710716426	2.045805847901e-7	2.17572743106083e-5	2.045805847901e-7	2.17572743106083e-5	NA	abundance	105	90
6.1.1.1: Tyrosine--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.61597970043379	-0.0614602574130574	0.279834617027836	2.14464598616353e-7	2.23985827991428e-5	2.14464598616353e-7	2.23985827991428e-5	NA	abundance	105	78
1.17.1.8: 4-hydroxy-tetrahydrodipicolinate reductase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.34676064070399	-0.0614602574130574	0.247995290694677	2.16933751392915e-7	2.24963007825537e-5	2.16933751392915e-7	2.24963007825537e-5	NA	abundance	105	86
2.2.1.6: Acetolactate synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	2.24935189694391	-0.0614602574130574	0.40900611579088	3.74904680285743e-7	3.54467233126026e-5	3.74904680285743e-7	3.54467233126026e-5	NA	abundance	105	72
2.3.1.54: Formate C-acetyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.62106152451874	-0.0614602574130574	0.293696781320498	3.93513488240877e-7	3.69298772108035e-5	3.93513488240877e-7	3.69298772108035e-5	NA	abundance	105	89
