"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UniClust90_15313-LBDKAJCC_00488|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-0.0161278258706642	-0.290682613120024	0.0961838295562902	0.00612579705397933	0.0697934733962219	0.00612579705397933	0.0697934733962219	NA	"abundance"	105	89
"UniRef90_E2ZIJ8|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.511795156193149	-0.290682613120024	0.281459792630221	0.00614046358915715	0.0698833554832222	0.00614046358915715	0.0698833554832222	NA	"abundance"	105	63
"UniClust90_15315-MKJMDAFG_00367|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.281216436969349	-0.0172759480074225	0.103920009656631	0.00616034440872778	0.0700323166465184	0.00616034440872778	0.0700323166465184	NA	"abundance"	105	89
"UniClust90_15313-EOJKLFJJ_00255|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.706880152021278	-0.0172759480074225	0.255147379076246	0.00620768521347807	0.0704927777931414	0.00620768521347807	0.0704927777931414	NA	"abundance"	105	83
"UniClust90_15313-JAKCILPN_01587|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.152530917855194	-0.290682613120024	0.153615404122524	0.00622263859642765	0.070584847709313	0.00622263859642765	0.070584847709313	NA	"abundance"	105	73
"UniRef90_A0A1Y4T8V1|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.639836011865671	-0.0172759480074225	0.219222996257251	0.0062351818115281	0.0706027735573678	0.0062351818115281	0.0706027735573678	NA	"abundance"	105	85
"UniClust90_15313-KANHGOBC_00513|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-2.76632468905706	-0.290682613120024	0.270085187878969	0.0062379135593795	0.0706027735573678	0.0062379135593795	0.0706027735573678	NA	"abundance"	105	27
"UniRef90_A0A173WY86|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.285816465088066	-0.0172759480074225	0.106153790605347	0.00625094998884083	0.0706727470777827	0.00625094998884083	0.0706727470777827	NA	"abundance"	105	90
"UniClust90_15313-PMAMGBHB_00674|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.201493860980299	-0.290682613120024	0.174437352147714	0.00628641609684354	0.0709956565360207	0.00628641609684354	0.0709956565360207	NA	"abundance"	105	85
"UniRef90_C7H8L2|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.314273674067417	-0.0172759480074225	0.103899507637023	0.00629328193908669	0.0709956565360207	0.00629328193908669	0.0709956565360207	NA	"abundance"	105	89
