F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
1.1.1.169	202.2945175224	217.9493944954	152.6169001746	166.1326508401	96.4456406687	96.0115343485	254.8901021083	48.4400977816	61.6183760067	122.7715526799	199.1919751974	111.0914631633	298.4377737111	144.2364796891	19.1779147999	112.5366595457	27.2887995838	238.0757645719	200.4488524184	234.8465733692	182.6757547149	277.7539900132	214.5069723384	286.6716586147	264.5710910856	144.2926550526	141.151518364	259.2574859582	193.8012628503	215.8982784085	329.4342714446	220.6784505461	272.1550283055	290.2109873792	42.2565469313
1.1.1.17	0	0	0	0	26.2205574566	0	0	7.3080704523	0	0	0	0.8195320688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.170	0	0	0	0	10.668224452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.173	0	0	0	0	0	0.5971261601	0	0	0	1.043960194	0	0	1.4330776364	0	0	0	0	0	2.1116997325	0	0	0	1.7833670165	1.8553200973	0	3.9412263289	0	1.0087383313	0	0	0	0.8897041631	0	0	1.5495534869
1.1.1.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.179	3.6911820958	2.1982764214	0	1.4313672744	20.8189227052	0	0.6359839342	2.777993005	11.0313115275	3.8037495543	0	0	5.6753472565	2.9967310872	0	4.7242478618	6.7909339625	5.9374533757	12.8662975265	0	3.5932362192	0	0	4.4569348693	3.8332187121	0	0	0	0	2.7108424398	21.7678859822	0	3.1205176325	0	0
1.1.1.18	1.240133815	1.403018223	1.0042063403	0	11.7884237252	3.7253498345	3.440908322	36.4795885831	0.7483477624	11.2400654307	3.2407961986	4.6425436893	3.5878157225	10.5229789078	0	4.2513377354	0	2.7531421173	3.4423015557	0	1.3867605092	0	0	2.2606171704	0.4869638282	2.0878462352	2.9494835525	3.9898861609	2.3096473188	0	0	5.0801288884	2.7706957776	1.7545869878	0
1.1.1.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.188	23.9871391131	15.970652624	5.2383070107	39.5697961168	17.0935448658	12.0035042746	20.902746439	0	40.7268146628	6.7098120839	13.0208780161	8.6759858946	44.8602996608	5.338155993	8.1433831134	8.9022083022	4.7797203544	31.9966500917	43.9498404857	18.309087282	17.1794801022	43.9362472153	33.5480835487	8.7334221841	23.9197351415	15.1175174453	5.0765584173	19.2391627985	12.9322582962	10.2664866235	28.6753510526	28.3574298912	56.2731926659	40.2662711899	7.0245806313
