F-50179221-003S	F-50179155-003S	F-50179247-003S	F-50179145-003S	F-50179263-003S	F-50179227-003S	F-50179243-003S	F-50179060-003S	F-50179271-003S	F-50179229-003S	F-50179267-003S	F-50179200-003S	F-50179151-003S	F-50179192-003S	F-50179147-003S	F-50179196-003S	F-50179186-003S	F-50179213-003S	F-50179062-003S	F-50179233-003S	F-50179239-003S	F-50179253-003S	F-50179066-003S	F-50179169-003S	F-50179161-003S	F-50179205-003S	F-50179249-003S	F-50179259-003S	F-50179219-003S	F-50179159-003S	F-50179184-003S	F-50179190-003S	F-50179203-003S	F-50179209-003S	F-50179167-003S
1.1.1.159	0	0.5673658154	0	1.0099171838	0	0	0.7419243377	2.1720208784	0.441541453	0	6.550950852	16.6254672605	3.3898651661	4.7375541655	37.3577196807	9.9042031272	7.6180538318	3.4042230477	1.8842579642	5.4867317807	0	0	15.230909925	0	2.168956597	7.1860653763	0	0	2.8995318645	0	3.6605902371	0.8607850717	0	0	0
1.1.1.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1668547335	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.163	2.5014949291	0	4.6938109871	0.3317588513	0	1.5063471153	1.1128865065	0	3.3111937793	0	6.5963326793	6.5109668485	0.4114935831	0	0	0	1.3971864457	1.3846723519	4.0761498817	0	6.3887514333	0.6365874933	0	3.9112975304	0	0	24.3738449028	0	0	0.4122735115	0	0	2.3933055693	8.0680935727	0
1.1.1.169	24.2449733713	100.8172011534	177.9744812197	57.7122131309	28.8874027314	101.0998033989	55.7325440616	83.2902404723	42.8835103217	157.1009718715	170.1274121877	102.8312710985	129.3802521186	117.2937610064	96.738079955	117.5482869866	157.6170691342	228.2831215756	192.0498972594	177.129192555	98.0766985475	109.7219498979	191.521658695	16.3556436991	115.8106288515	118.3105091888	74.8507478761	71.2991655208	65.0403488288	84.2213039881	41.7939918324	119.6656428425	184.9687278377	126.2709256434	64.1149082801
1.1.1.17	0	0	0	0.9428935775	5.4569195281	2.5495612051	0	0	4.1193664088	0	0	3.8218277605	56.0070558921	0	0	0	0.8604142519	0	0	0	0	2.2986632637	0	7.5519167757	0	0	0	0	0	0	4.3633774245	0	0	1.5866231994	5.3264052475
1.1.1.170	0	0	0	0	0	0	0	0	0	0	2.3035628563	0	0.8812982605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.173	0	1.7745367391	0.8750476021	0.2985829662	1.0295794	0	1.3279822179	0	1.3436410593	2.1165343385	0.9404197024	0	5.8398287549	0	0	0	1.4745483786	0	0	1.0907186582	2.8310255799	0	0	0	0	3.5990181162	0	0	1.6303276078	0.3848257636	2.4337098285	0	0	0	0
1.1.1.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1967877164	0	0	0	0	0	0	0
1.1.1.179	0	4.6975708089	2.2395323846	3.1669746068	0	7.4684449849	5.9029796291	4.3543433672	2.3356217092	9.398347896	2.548514041	0	3.0487150363	1.0829061943	0	4.5282897618	6.6203627708	4.8325571785	1.0847897834	0	5.5902001359	0	2.5848617326	5.7500897136	3.5692399927	3.0971905054	8.844165284	5.7634153856	0	4.6290616961	4.5208403044	10.7486066604	2.2128693801	0	12.7023738992
1.1.1.18	1.284540211	9.1364985949	3.2199153498	20.4995331548	23.6563992986	25.3528906081	33.7959282217	10.4965308965	25.3744509747	10.9606748479	14.8100097879	13.4456533918	71.3914355263	33.1151739641	5.6012902088	13.2163251093	13.2607995196	0	0	6.2150904962	21.3493646619	12.5388307341	1.0871987435	15.0515916279	5.7867057619	5.0125252583	10.9681248994	21.0260848087	10.0735387545	15.4420661142	24.3044477876	6.3716868859	8.5438331232	4.5103824664	3.5290415612
1.1.1.183	0	0	0.9535347646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.188	0	2.3754670589	11.077991424	5.4197200609	0.7964400471	9.4136921189	7.7635604357	1.9971069531	3.1312854398	38.5962839832	15.7162415072	5.8086212415	19.2997148783	8.1934978255	8.866383275	5.9526719887	8.7893446144	16.3610042099	15.9829192801	9.0920728831	16.3870070759	3.1272670149	20.0006898249	0	7.6373898492	6.6688085152	9.8954787147	3.6727598179	11.5502359178	8.6853528883	0	13.5021568413	14.438403043	10.2765978683	27.8780356686
1.1.1.192	9.6965628159	20.7595569334	9.1332596629	10.4862888238	13.3255820546	27.8739638761	27.0848324967	17.8478322468	15.5672450729	22.6163917717	12.9697723216	26.272459332	10.399229848	32.8390643204	9.0873162475	20.6181544877	29.4639705849	14.5571301107	3.5781772483	16.1693498713	36.5303553178	13.0539616447	14.2032143812	7.0371054191	19.117833174	14.66905526	39.7305782328	15.7135688922	29.6013120969	15.7766791014	21.6571697677	20.9464271418	4.1599404667	9.9947918911	11.9887930937
1.1.1.193	0	18.119429978	14.6598862969	5.9894069322	17.2148789274	7.3066982822	11.0951430294	18.452905245	5.5231031692	0	7.3168091267	25.0460808573	22.4243199418	19.5859667663	43.2763900472	44.8396399053	24.2996770835	26.5605258163	26.856574234	18.8165990756	16.7741061337	26.0172369873	11.4160902234	5.4704842691	12.711075899	8.428206837	6.3091681907	14.8581338566	11.0521804115	8.7875830252	23.2522063495	6.7990519421	17.31790832	8.2277186242	3.367418502
1.1.1.195	0	0	0	0	0	0	0	0.87862697	0	9.9008221593	0	0	0	0	1.7789283934	0	0	0	0	2.8513817914	0	0	0	0	0.8870122461	0	0	0	0	0.5314342982	0	0	0.8407478815	2.0595457248	0
1.1.1.197	0	2.9687801755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.2	26.2210802229	44.4419553659	34.909240568	13.4425492297	15.1405593237	21.4545889493	14.4125788024	17.3472420823	7.5049066469	53.621857087	23.1381303166	28.8116547972	16.893957063	58.4760217315	35.9521059311	42.2546320542	38.9963282698	34.1151355534	60.3044913702	32.9852238311	23.4006277838	25.3440265702	35.0811664853	0	25.4667022276	30.1360926352	19.4345349098	8.2276491033	48.7094269946	22.8398961763	21.1280182324	29.2869870013	39.1543449921	29.9734452887	23.0540231107
1.1.1.200	0	0.8674273184	0	0.3023624974	1.3731466538	0	0	0	0	0	0	0	0	0	1.9629613287	0	2.8457704613	0	1.8813831428	0	0	0	0	1.0320952927	0	1.421181506	0	0	0	0	0	0.8907626612	0	0	0
1.1.1.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8462352382	0	0	0	0	1.0010673775	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.202	0	11.4990882579	1.087836629	7.4459892911	12.7493754348	9.0018789609	2.8698647029	8.1122939466	3.9414717985	0	3.5018253372	14.2052901662	6.6745025219	24.6758085067	0	46.3654143939	29.5242946279	0	0	0	5.7259680701	0	0	0	4.8057746568	0	0	0	1.172088112	0	3.6792637629	0	2.1230936502	0.8557323027	0
1.1.1.205	308.9047014081	329.3355078122	331.8571711007	405.0242706373	518.9108270127	493.5972697533	444.9203783326	335.1102637343	512.2103352055	499.202610992	499.9569694688	348.4595816409	460.8741266157	449.2516415831	360.193115571	398.0143355858	480.5025915957	318.7907617058	331.7531265523	322.5291189166	573.0889987544	298.7413623269	351.6129253079	296.6947102321	323.8178474471	355.3340850408	463.9475072132	354.08234843	356.1936275299	384.8789756215	351.8904963628	338.8353268947	374.6382548135	282.2545088493	385.8408073487
1.1.1.21	0	12.2683485257	13.1562459043	3.1920572756	14.8688390596	34.7765471233	13.1558775993	3.1101511512	6.2010490184	0	6.9978545857	13.2680520005	2.8510534182	20.0986841103	0	32.6119987006	33.3468150695	0	1.0906390981	4.9846568082	31.1328317784	11.9788962292	2.7654697168	0	0	1.670736376	10.6523572266	2.9075457064	5.94671701	23.6891537256	5.3898655381	5.2465941122	13.7073224103	0	0
1.1.1.215	0	0	0	0	0	0.2204486436	1.5689716295	0	1.0078266763	0	0	0.9832714204	0.661053629	0	1.0450990272	0.4189446934	0.6803794059	0	1.7643285934	0	0	3.5085718868	0	1.4096202807	0	0	0	0	1.9822640319	0	0	0	0	0	0.6262782426
1.1.1.216	0	0	0	0	0	0	0	0	0	0	0.7039398942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
