F-50179223-003S	F-50179153-003S	F-50179245-003S	F-50179143-003S	F-50179261-003S	F-50179225-003S	F-50179241-003S	F-50179058-003S	F-50179269-003S	F-50179231-003S	F-50179265-003S	F-50179176-003S	F-50179173-003S	F-50179194-003S	F-50179149-003S	F-50179198-003S	F-50179163-003S	F-50179215-003S	F-50179064-003S	F-50179235-003S	F-50179237-003S	F-50179255-003S	F-50179068-003S	F-50179171-003S	F-50179141-003S	F-50179207-003S	F-50179251-003S	F-50179257-003S	F-50179217-003S	F-50179157-003S	F-50179182-003S	F-50179188-003S	F-50179201-003S	F-50179211-003S	F-50179165-003S
1.1.1.218	10.6671979576	21.2619081472	11.7337797346	2.5965366992	0	6.3076486466	7.825073369	51.6679793666	2.7901687348	11.6776724802	3.0626267845	1.3200108133	55.5091152627	0.3508352734	8.0741320264	16.8952969433	37.9390958231	11.1215988125	2.749843404	0.7737772691	14.4958465245	3.2006494676	5.6720721089	4.2337248624	1.3258707703	18.5794150467	23.6816947883	6.1284560994	17.0450632532	7.2155329206	2.8979418804	4.7259082476	25.5638418699	2.0387136644	26.0268143751
1.1.1.22	243.4764197459	360.7754925448	465.2680989333	271.8795539709	272.097402796	271.2251193412	240.5315919644	205.0105108538	92.1114090515	282.9084987058	58.0971425775	172.1087016379	758.7305226358	45.645546903	141.2543040599	595.0896790957	254.7673139222	368.1826110412	130.0350314767	147.826101698	201.5704263511	218.2782580343	227.0235913963	65.0349206077	188.3845169927	143.5166733623	407.1361786869	76.091831196	291.5835431995	517.3713605177	116.1971892682	78.0282610017	287.8247786735	143.8614510954	293.4648315347
1.1.1.23	301.1636116548	382.3000380678	293.7289972628	177.1172249746	293.8273805126	279.3501078583	279.9448996417	332.89314775	376.7092397177	279.557067996	361.8381742569	228.342498453	347.4368089917	320.0794670634	321.3442942218	267.6598715599	301.7697610477	207.829458013	291.6619055882	204.9421216122	356.021430246	297.2574635412	202.9163895343	379.856875845	245.8856192788	234.7163538288	321.9928440804	348.564883139	280.1129550148	406.8062080402	362.0223518291	405.785592008	186.7672565959	290.6684163686	249.5173935125
1.1.1.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4042594061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.237	9.2674318674	0	0	26.454510505	0	6.6186130493	0	10.0524092991	0	0	0.5094295641	0	1.3025709852	0	0	0	0	0	0	0	0	0	0	0	2.7235157641	0	0	1.1518399082	0	0	3.8830935527	0	2.5493691367	7.7844646538	1.1696975489
1.1.1.244	1.0939084017	1.5400745243	0.5693902066	0.5672907506	1.9224134966	0.9554371665	1.8741143278	1.0956952166	0	0	1.6353791214	1.0020321923	1.7877064405	0	0.9909401349	0.8981249308	0.643338228	2.636600396	0.5261483613	1.1441102442	1.790682446	0.7443519349	1.6689474147	2.0961178551	0.7418297485	0.7101491862	2.8113194719	1.247463712	0	1.5529980142	1.2671729344	1.2225489863	0	0	0.5539220917
1.1.1.25	344.7651993941	322.9726668056	243.638368166	337.365426882	292.5440467048	307.9935087392	324.591179336	179.824031964	445.3370577337	245.3334722085	426.5904081201	263.3564190881	348.4156187825	440.2809489065	361.1745700225	221.6076943899	306.6913074904	222.4877257943	370.7494795946	403.3458617667	342.8378107877	282.4958702614	212.5977641732	490.8061919578	340.2295113659	238.5166609512	255.979819064	400.4109429527	295.1894799508	401.9029934547	378.9114261277	445.9315837887	194.3835917725	450.087117486	292.5537379689
1.1.1.250	0	0	0	0	0	4.6654012322	1.1194923389	0	2.2339405784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5379924209
1.1.1.251	11.955907107	1.7405568274	0	22.8376211822	0	8.9360874975	2.9083449977	7.6596009062	0.7050126504	1.5129639438	8.8349317344	1.6398518814	1.4058812129	0	1.696744821	1.2700293874	0.4937110227	0	2.1508384306	0	3.3197678524	0.5845494076	2.8749727498	0.6492660269	4.3185045882	1.9476248682	0	4.0320191431	2.5435346429	1.2808826144	2.1990976467	0	1.0146012442	11.4328063283	3.9987755593
1.1.1.252	0.6244701646	0	0	0	0.6721260761	0	0	0	0	0	0	0.5955102473	0	0	0	0	0	0	0	0	0	0	0	0	2.0212644627	0	0	0.2211263312	0.853447242	0	0	0	0	1.1381840053	0.9536906844
1.1.1.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815253108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.26	0	0	0	1.6690258577	0	2.3038407299	0	1.2429793924	2.2264019372	0.7437205709	0	0	2.0279440173	0	0	0	0.2610173816	0	0	0	1.473826513	0	2.369543683	0.5977762043	0	0	1.3026995593	0	0	0	1.6463700389	0	0	0	0
1.1.1.261	1.5570032288	0	0.7545132176	5.1620229246	5.2202318841	4.1418761516	0	0	3.1676481036	2.5259992206	0	1.5272787724	3.5464299112	3.9123087207	1.9489305659	0	1.4688391463	2.2331057036	0.5881868093	0.7412901305	1.3638981455	0	2.5960305781	2.6273363164	1.2347973138	0	0	0	0	0	2.8462302571	1.5148770238	0	0	0
1.1.1.262	15.7018530204	3.8118202825	8.092579872	35.0696879311	5.4841498511	24.8633761803	6.7047058043	34.9448851459	7.4673151776	1.2008057835	0	3.1559680732	5.5665354178	0.8329340166	2.8261573938	0.8449002903	1.7496269595	0	3.5212205177	1.8907909288	1.4914165387	0	0	1.5519678873	16.4992600358	2.4842511883	2.0411984535	4.9716301636	3.6369506246	0.4443185159	4.6529908424	0	4.4726074649	11.8536829287	2.5478338841
1.1.1.263	0	0	0	0	0.7755300878	0	0	0	0	0.7999086367	0.6686263029	3.7807093287	2.0002917332	0.5838718419	0	0	0	0	0	0	0	0	2.6587584952	0	0	0	0	0	0	0	2.6422502151	0	0	3.6855482076	0
1.1.1.264	1.5007330559	1.5929811745	1.187475412	0.8099025344	0	5.9763951354	1.867445952	6.9836057849	0	0	3.5559322996	0	0	0	2.0919521131	0	0	0	0	0	0.3240402207	0	0	0	2.444687195	1.4386947145	0	0	0	0	1.1991460746	0	0	6.1553729954	0
1.1.1.267	317.6499953876	365.139977413	346.6324943572	268.7460755098	292.9268634543	365.2344303765	304.9423132416	401.1289755604	181.8727738862	332.2680302911	105.9118031709	300.4431791068	358.515878541	68.3503908251	281.9627519903	338.1335005925	289.7972143628	278.193114007	154.1769599728	186.6859352209	322.3669029409	371.5674374068	313.7528822601	98.3864055675	313.2780111713	218.6476876484	339.8523208899	164.6122154315	328.6807322452	260.5395048204	198.2307616779	116.8165863722	237.4638974014	162.2155301437	331.7002488648
1.1.1.268	0	0	0	0.5208318332	1.9892520638	1.7281176976	2.2069343429	0	1.38916416	0	1.6230477437	0	0.8260781937	0	0	0	2.261579395	0.8597954751	0	0.5130391965	0	0	0.5914165982	0	0	0	0	1.6776812392	1.302066767	0	0	0	0.8115645824	2.6803752488	1.3964756451
1.1.1.269	1.686115159	0	0	1.5133503494	4.2632543918	0	2.9540288481	0	1.38916416	0	0	0	0.8260781937	0	0	0	0	2.0993339518	0	0.5130391965	0	0	0	0	0	0	0	0	1.302066767	0	2.0336034012	0	0	0	0
1.1.1.27	460.9867644034	439.8751869625	503.1857848499	410.1995412348	606.3185383243	387.6546813192	564.1913311454	474.7019465038	879.7563221837	773.4143422685	1087.2330158584	738.4283513928	422.310027403	1185.0774279494	726.1575784298	477.3563792709	629.4328244834	762.5658336954	800.0755080366	804.430252105	471.3186815778	681.9677123537	873.74282983	1114.8565470649	494.2511898463	1034.0821911828	550.1995220866	1099.8154018223	711.880156109	709.6498847538	796.1274567798	1198.7070839464	981.7455902876	776.5894293814	649.8671601674
1.1.1.271	15.5762355026	11.7277098015	7.5395793694	37.4267933134	2.5928933332	18.9073486144	6.9990921484	11.5012688882	4.2877134373	3.0945884446	3.2875109553	3.3900452613	9.3028624255	0	0	0	2.0843517366	0	3.701946565	9.1719239348	3.3550978735	2.1811739468	2.886897047	0	12.4283012368	3.5952368226	4.724198386	5.3170450178	4.3172878132	2.1555763102	4.2489637658	0.773502802	4.5648609034	11.0514535029	18.422384606
