	F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
nervonoylcarnitine (C24:1)*	0.5095	0.5095	0.6369	0.6937	1.6034	0.6866	0.8875	1.4282	0.5095	1.066	0.5113	1.6901	1.0689	1.6157	0.8076	0.7008	1.7617	1.8817	0.6855	0.5095	1.6171	0.5095	0.6668	0.5095	1.1527	0.798	1.4775	1.0808	0.7548	0.5095	0.7221	0.5479	1.0412	1.0125	0.7834
linoleoylcarnitine (C18:2)*	0.8556	1.1071	3.3676	1.3386	0.5248	1.7944	0.5906	1.7384	1.2032	0.4178	2.1475	2.7677	1.1644	0.7902	1.0261	1.6546	5.0758	4.7181	1.0785	0.6508	3.3782	2.8581	0.4797	0.1797	1.7393	0.7754	1.4985	1.4934	1.5835	1.6825	0.9739	0.4277	0.35	2.0185	1.3706
arachidonoylcarnitine (C20:4)	0.1895	0.2328	2.0118	0.1895	0.1895	0.1895	0.1895	2.0986	0.1895	0.1895	0.1895	1.5625	0.4984	0.1895	0.1895	0.9232	2.6543	2.9894	0.1895	0.1895	1.7048	1.3527	0.1895	0.1895	1.0554	0.5393	0.9373	0.5513	0.5135	0.3676	0.1895	0.1895	0.1895	1.1532	0.4046
docosapentaenoylcarnitine (C22:5n3)*	0.4607	0.3298	1.5423	0.481	0.2331	0.2331	0.2331	2.442	0.4428	0.2331	0.6919	1.7676	1.1014	0.2331	0.2331	0.7948	3.2485	2.0177	0.388	0.2331	2.3683	1.1943	0.2331	0.2331	1.4994	0.7266	0.9596	0.6754	0.7688	0.6873	0.2331	0.2331	0.2331	0.9767	0.5746
docosahexaenoylcarnitine (C22:6)*	0.1509	0.1509	0.1509	0.3765	1.572	0.1509	0.1509	1.6004	0.1509	0.1509	0.1509	0.5019	0.1509	0.1509	0.1509	0.1509	1.8574	0.7574	0.3411	0.1509	0.565	0.2437	0.5926	0.1509	0.6351	0.1509	0.7905	0.2241	0.303	1.0	0.1509	0.1509	0.1509	0.2733	0.1509
deoxycarnitine	1.0023	1.0541	1.3936	0.7053	0.9035	0.8912	1.6107	1.5087	0.7786	1.3062	0.91	1.0675	1.3883	2.1798	1.1456	1.5055	1.6839	1.401	0.8717	0.9977	1.2184	0.8924	0.8531	0.7007	0.9251	0.8585	1.3574	1.593	1.12	0.7175	1.0929	0.8113	1.0042	0.921	0.9253
carnitine	0.5196	0.6763	0.6096	1.2407	12.797	0.7	1.0193	10.6077	1.8001	0.6481	1.0982	1.3264	0.6899	0.6628	0.6049	0.653	0.7424	2.6927	0.6824	1.121	0.9929	2.6264	0.7398	0.5458	0.4395	0.4923	1.6168	1.5385	0.7192	1.2096	11.9173	0.5608	1.0142	0.7843	0.501
3-hydroxybutyrate (BHBA)	3.717	3.8032	4.415	2.3876	3.1766	2.4803	1.7693	1.1067	0.8311	4.3935	1.7747	1.2089	3.2507	4.6567	2.5245	2.0996	1.9398	0.9934	1.6939	1.6526	1.7872	2.9055	1.7028	1.1182	1.0066	2.8507	1.9837	1.6531	1.5657	0.9277	3.8375	0.6014	1.1797	0.7676	3.3418
palmitoylcholine	0.6784	0.3058	1.1278	0.9561	0.3058	0.9794	0.4739	0.3058	0.3058	0.3058	1.3313	1.3054	0.3058	0.3058	0.9853	0.8449	1.2663	2.2266	0.9658	0.8491	0.3058	1.5969	0.5061	0.556	0.3058	1.6643	1.05	0.7944	0.3546	0.3058	0.8227	0.3058	0.3058	0.3058	1.2359
oleoylcholine	0.4271	0.7435	1.0481	0.9801	0.4271	1.0616	0.4271	0.4271	0.7715	0.4271	1.0701	0.7483	0.6529	0.4271	0.7704	1.091	1.2105	2.2985	0.6408	0.7608	0.6057	1.7846	0.7014	0.7424	0.8688	1.0142	0.4847	1.0495	0.4271	0.4271	0.4472	0.4271	0.4271	0.5491	1.2688
stearoylcholine*	0.748	1.0	1.0973	0.532	0.458	0.8854	0.458	0.458	0.458	0.458	0.458	1.0905	0.6784	0.6193	1.3976	0.7199	1.5241	1.8414	0.9987	0.4951	0.9283	0.8337	0.458	0.8669	0.6796	1.5267	0.9229	0.5988	0.458	0.458	0.458	0.458	0.458	0.594	0.9036
alpha-hydroxycaproate	0.6884	0.1627	2.8474	5.7157	0.1627	3.3958	8.7338	1.6292	0.1627	2.3469	4.759	2.1908	4.0687	0.1627	0.3325	1.6586	1.4723	1.0272	4.2113	6.3809	1.2754	7.1892	2.4964	3.2401	1.0	0.1627	1.89	0.1627	0.1627	1.9541	0.1627	0.9728	0.1627	0.7363	0.7008
2-hydroxydecanoate	3.8238	3.7873	2.7894	0.8742	0.3611	1.4456	0.7966	0.3723	0.4219	2.6934	0.6654	2.1177	1.1517	1.9764	1.8293	1.4948	1.9136	1.6537	1.1285	0.7116	1.4811	0.9834	1.0589	0.6051	0.9239	1.3089	1.9578	0.6955	1.6574	0.8944	1.6581	0.5074	0.5113	0.7437	1.5507
2-hydroxyarachidate*	1.2814	0.1381	0.4898	0.4474	1.5101	0.3538	0.745	5.5478	0.1381	0.301	1.7587	1.4729	0.5328	0.3403	0.3415	0.6177	0.3542	1.208	0.7924	0.8721	0.6667	3.4789	2.2885	2.2393	1.0088	1.8426	3.5156	7.1619	0.1381	1.2283	2.721	3.2431	0.1381	0.8923	0.3414
2-hydroxynervonate*	0.1229	0.1229	0.3265	0.1229	1.5011	0.1229	0.5188	6.2868	0.1229	0.1229	1.3555	0.9297	0.1229	0.1792	0.2155	0.3413	0.1229	1.144	0.4355	0.5172	0.1229	2.014	1.527	1.447	0.1229	1.2259	3.1155	6.6808	0.1229	0.9333	3.0354	1.947	0.1229	0.7739	0.1229
3-hydroxyhexanoate	2.1528	1.5945	0.2734	1.3055	0.803	3.5764	0.8098	0.2734	0.2734	4.1458	0.2734	0.5742	6.4327	1.4749	0.8142	3.4122	0.98	0.9295	2.3613	0.7475	3.913	0.2734	1.9779	0.5143	0.5522	0.5887	1.0173	1.1262	2.9152	0.2734	1.3756	0.2734	0.2734	1.3951	2.5627
3-hydroxyoctanoate	1.0993	1.5979	1.2463	1.2493	0.571	1.251	1.0601	1.7487	1.4375	1.0089	1.0788	1.6214	1.5695	1.6063	1.0552	1.8362	1.207	0.571	1.2761	1.3282	0.91	1.4085	1.0926	1.2297	1.383	1.0745	2.0399	0.571	2.0464	1.0806	0.571	0.9218	0.571	0.6033	1.4707
3-hydroxysuberate	1.1563	1.09	1.3063	1.5943	1.0509	1.39	1.7441	1.5026	1.6362	1.2818	1.1441	1.6202	1.3261	1.184	1.3002	1.8935	1.5869	1.0	1.4916	1.3721	1.1443	0.9763	1.2864	1.3081	1.5664	1.0729	1.6465	1.3313	1.5507	1.0068	1.132	1.1511	1.0543	1.219	1.3159
